GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPXR001IMPL,com.bbva.capx.lib.r001.impl,CAPXR001Abstract,4,23,0,0,2,10,1,6,1,6
CAPXR001IMPL,com.bbva.capx.lib.r001.impl,CAPXR001Impl,50,220,9,3,8,43,5,5,0,4
